username,follower_count,following_count,post_count,bio_length,has_profile_pic,has_external_url,avg_likes_per_post,avg_comments_per_post,follower_following_ratio,engagement_rate,is_private,is_fake
real_user_672,196,83,1640,36,1,0,1.0,0.07131242404253979,2.36144578313253,0.5465879714502754,0,0
real_user_501,667,686,1327,56,0,0,15.176208714160358,1.7443687353370805,0.9723032069970845,2.536818208320456,1,0
fake_user_382,6474,738,7,17,1,0,355.0,13.636270344418426,8.772357723577235,5.694103650670659,0,1
real_user_148,833,893,1491,85,1,1,27.336771760500973,1.8070348485914114,0.9328107502799552,3.4986562555933234,1,0
fake_user_448,221278,41,23,27,1,0,816.830533719711,10.058792948354482,5397.024390243902,0.3736879973011621,0,1
fake_user_328,124712,65,9,0,1,0,839.4102879480729,8.61818227372039,1918.6461538461538,0.67998947192074,0,1
real_user_300,2498,338,504,124,1,1,15.974435516726782,0.9099978108168523,7.390532544378698,0.67591806755579,0,0
fake_user_198,29695,1034,28,0,0,1,196.0,7.383226872626621,28.718568665377177,0.6849073139337485,0,1
real_user_651,2981,1299,1280,118,1,0,1.983383172980934,0.25087428682570256,2.2948421862971515,0.07494993156010187,0,0
real_user_642,832,1303,1937,137,1,0,1.0,0.13387634818829927,0.6385264773599386,0.13628321492647827,0,0
real_user_512,36491,1298,1984,117,1,1,484.46179920654527,34.2647132953242,28.113251155624038,1.421519038946232,1,0
real_user_324,957,378,687,74,1,1,1.3199097510757747,0.0832547434369605,2.5317460317460316,0.14662115930122627,1,0
fake_user_245,475668,62,37,18,1,0,1764.0281884764195,23.612451587678894,7672.064516129032,0.37581688069495917,0,1
fake_user_710,432467,1,3,0,1,1,2364.4521054524466,22.2011455932804,432467.0,0.5518694492402257,0,1
real_user_253,575,892,285,121,1,0,13.243959422807343,1.3416235420295657,0.6446188340807175,2.5366231243194624,0,0
real_user_520,540373,576,615,42,1,1,2797.2386908952467,276.22168407442456,938.1475694444445,0.5687664585332115,0,0
real_user_684,24344,916,1302,216,1,0,1245.9544167300269,56.36457628574813,26.5764192139738,5.349650809299108,1,0
real_user_52,6353,724,1245,113,1,0,228.18282252555565,7.917643824786295,8.774861878453038,3.716361818831134,0,0
real_user_746,53660,808,1068,55,1,0,801.2127673841796,102.40753208189933,66.41089108910892,1.6839737224488986,1,0
fake_user_102,64528,497,17,0,1,0,242.0,5.545440420257885,129.83501006036218,0.3836248456797946,0,1
real_user_223,4614,1954,1432,188,1,1,88.3738308540714,2.614262114804757,2.361310133060389,1.97200028107664,1,0
fake_user_617,15406,2678,2,0,1,0,2576.0907160773613,672.4408543719687,5.752800597460792,21.08614546572329,1,1
real_user_545,6965,1014,502,136,1,0,196.11056415357976,22.943077642082546,6.868836291913215,3.1450630552141035,1,0
fake_user_688,2772,820,397,58,0,1,245.03096966280543,78.91908939123836,3.3804878048780487,11.686510066884697,0,1
fake_user_146,16926,2285,350,60,1,1,3240.486283930656,870.2360940083743,7.407439824945295,24.286437303196447,0,1
fake_user_15,29677,947,7,71,0,0,236.0,10.80846711309772,31.337909186906018,0.8316489777036011,0,1
real_user_498,36602,685,1663,86,1,0,345.94528613045674,16.66465408992875,53.433576642335765,0.9906834058805134,0,0
fake_user_423,12145,1329,25,0,1,0,67.0,0.2384446004166561,9.138449962377727,0.5536306677679429,0,1
real_user_632,7292,1980,663,102,0,1,17.276796285576697,0.6337838457381105,3.682828282828283,0.24561958490557884,0,0
real_user_499,95192,767,1240,12,1,0,3159.789537988543,165.31920469187037,124.10951760104302,3.493054818346514,0,0
fake_user_633,33349,1135,9,0,0,0,354.0,2.455180347557038,29.38237885462555,1.0688631753502564,0,1
fake_user_345,44036,1188,21,0,1,0,319.0,2.1651389304899635,37.06734006734007,0.729324050618789,0,1
real_user_16,835516,365,1890,163,0,0,6616.160228188763,812.1395971986286,2289.0849315068494,0.8890673338855739,0,0
fake_user_426,188737,45,454,39,1,0,1702.4975769071655,33.82208862674095,4194.155555555555,0.9199678205830899,1,1
fake_user_640,23264,201,47,9,1,0,474.0,7.911334373837521,115.7412935323383,2.071489573477637,0,1
fake_user_381,11718,70,49,0,1,0,41.862957795272784,0.326593610095712,167.4,0.36004054792087814,1,1
real_user_413,912,1291,822,143,1,0,19.68276611416094,1.551223886655767,0.7064291247095275,2.328288377282534,0,0
fake_user_701,54334,1621,80,0,1,0,329.0,13.231966447343284,33.518815545959285,0.6298670564422705,0,1
real_user_700,868,909,1666,75,1,0,24.9524893236603,2.4007807391161795,0.9548954895489549,3.151298394329087,0,0
fake_user_599,29424,1826,28,24,0,0,192.0,7.7994323277459126,16.113910186199345,0.679035591108435,0,1
fake_user_764,27954,897,134,10,0,0,383.0,3.4969113087771992,31.163879598662206,1.3826175549430393,0,1
real_user_464,2937,505,1602,273,1,1,40.694545372313996,5.568502128930457,5.815841584158416,1.575180371169372,0,0
fake_user_237,10506,2900,4,0,1,1,662.4173889668929,154.16576904386991,3.6227586206896554,7.772541005242364,0,1
real_user_239,611,919,690,147,1,0,35.92124017629633,2.093803627401623,0.6648531011969532,6.221774763289353,0,0
fake_user_91,130955,87,384,55,0,0,1276.8842886977507,23.560640282661595,1505.2298850574712,0.9930471757324364,1,1
real_user_626,293,766,778,2,1,0,16.167390567474197,0.6848674701724724,0.3825065274151436,5.751623903633676,0,0
real_user_779,299,54,1764,59,1,0,1.0,0.04461606360735581,5.537037037037037,0.349369920938915,1,0
fake_user_214,471326,41,170,95,0,1,4194.659854296403,45.36209863040101,11495.756097560976,0.8995943259923713,0,1
fake_user_681,17530,1308,3,23,1,0,488.0,17.721043737979816,13.402140672782874,2.8848890116256696,1,1
real_user_89,2795,1332,743,1,1,1,91.89099869358981,4.118610375311953,2.0983483483483485,3.4350486250054297,1,0
fake_user_610,411285,35,9,0,1,0,686.9736539247389,9.989350198453899,11751.0,0.16945986460074955,0,1
